================ Precision Log (Fri Apr 11 21:30:00 2025) ================
Epoch:10  sam 17.469520568847656,psnr 10.942147254943848,ergas 6.297568377398437,cc 0.5544814512297686,rmse 0.23046023276268482,Ssim 0.07885433444669036,Uqi 0.32218643060090063
Epoch:20  sam 13.65416145324707,psnr 17.757814407348633,ergas 2.9799891941258387,cc 0.538900078971046,rmse 0.10812943589404508,Ssim 0.3059772772944966,Uqi 0.8864692813060919
Epoch:30  sam 11.239952087402344,psnr 20.496341705322266,ergas 2.3053465701080884,cc 0.5599904599453635,rmse 0.0731371836038712,Ssim 0.38108573178664545,Uqi 0.9440783964944933
Epoch:40  sam 10.262296676635742,psnr 21.039316177368164,ergas 2.20463856431324,cc 0.5865713158376592,rmse 0.06850474374747428,Ssim 0.4172274557954119,Uqi 0.947628698639359
Epoch:50  sam 9.87435531616211,psnr 21.892650604248047,ergas 2.058103897122767,cc 0.630788966251268,rmse 0.06374299719418396,Ssim 0.4372540680657765,Uqi 0.9529436884066149
Epoch:60  sam 9.765707015991211,psnr 22.290197372436523,ergas 2.0255478319705458,cc 0.6476239827799716,rmse 0.06259406150550584,Ssim 0.46795162455507366,Uqi 0.9532599678556783
Epoch:70  sam 9.625974655151367,psnr 22.716768264770508,ergas 1.9628441460734893,cc 0.6732126234510387,rmse 0.06024524441668727,Ssim 0.4972437729002018,Uqi 0.9551258342707313
Epoch:80  sam 9.545402526855469,psnr 23.165159225463867,ergas 1.9280699591917965,cc 0.689299827316434,rmse 0.05925953034939395,Ssim 0.5394731087877842,Uqi 0.9558655554309152
Epoch:90  sam 9.470887184143066,psnr 23.45956039428711,ergas 1.8989746559927823,cc 0.70429365929458,rmse 0.05852551432309441,Ssim 0.5725745596581536,Uqi 0.956622342477052
Epoch:100  sam 9.40105152130127,psnr 23.748437881469727,ergas 1.864965764438779,cc 0.7142909088369693,rmse 0.057330146308877714,Ssim 0.5917434869359974,Uqi 0.9575342511920637
Epoch:110  sam 9.339552879333496,psnr 23.689714431762695,ergas 1.8723335681589337,cc 0.7149470926151518,rmse 0.05794394104580663,Ssim 0.6128642315944645,Uqi 0.9562216156517174
Epoch:120  sam 9.299534797668457,psnr 24.014734268188477,ergas 1.8400549643540354,cc 0.7172338915994101,rmse 0.056729921096395,Ssim 0.610497659734701,Uqi 0.958106657930148
Epoch:130  sam 9.205193519592285,psnr 23.376731872558594,ergas 1.8240938857987483,cc 0.7363087209451307,rmse 0.05585024067197855,Ssim 0.61344854311377,Uqi 0.9574868318872147
Epoch:140  sam 9.001519203186035,psnr 23.676809310913086,ergas 1.7424215307247013,cc 0.7656541514944624,rmse 0.05477072866468592,Ssim 0.6209247427819902,Uqi 0.9620904951385109
Epoch:150  sam 8.215462684631348,psnr 24.42117691040039,ergas 1.5902912982351685,cc 0.8171633610871739,rmse 0.04865785642035552,Ssim 0.6482825050641855,Uqi 0.9674185908513666
Epoch:160  sam 7.570955753326416,psnr 25.29812240600586,ergas 1.4518362118849373,cc 0.8514436478888804,rmse 0.04499150834899263,Ssim 0.692816015583602,Uqi 0.9729329634547531
Epoch:170  sam 6.9441938400268555,psnr 26.167190551757812,ergas 1.3341449110769479,cc 0.8862536725835716,rmse 0.0413299708607153,Ssim 0.7267475924279853,Uqi 0.9774904739937598
Epoch:180  sam 6.31672477722168,psnr 26.858509063720703,ergas 1.2266007184182603,cc 0.9041252283693884,rmse 0.038049718321990195,Ssim 0.7541784491959939,Uqi 0.9812631354715783
Epoch:190  sam 5.861962795257568,psnr 27.223894119262695,ergas 1.1529940381318458,cc 0.9178802845715256,rmse 0.03585222480633651,Ssim 0.7732715595664386,Uqi 0.9841520303241166
Epoch:200  sam 5.58881950378418,psnr 26.84276580810547,ergas 1.1557713376089165,cc 0.9259573992420238,rmse 0.03647627562249637,Ssim 0.7984841739055059,Uqi 0.9827963482176536
Epoch:210  sam 5.381914138793945,psnr 27.107873916625977,ergas 1.136857793497087,cc 0.9325978854273094,rmse 0.03626496884105485,Ssim 0.8060853958190348,Uqi 0.9843675525453298
